sale_date,sale_price,description,sale_id,lot_id,comments,title,grade,seal_grade,seal_type,variant
2021-07-06,432.0,9.0 B+ SEALED NES FCI 1993 USA,312127,66023,,BREAK TIME: THE NATIONAL POOL TOUR,9.0,B+,SEALED,False
2020-11-16,144.0,9.4 A+ SEALED 2600 ABSOLUTE 1988 USA,122046,15794,1988 Green box,PETE ROSE BASEBALL,9.4,A+,SEALED,False
2019-02-23,432.0,BAD DUDES,7204,94421,"NES, Data East, 1989, Seal Rating",BAD DUDES,9.6,A+,,False
2021-08-31,276.0,9.4 A SEALED 2600 PARKER BROTHERS 1983 USA,312135,70006,1983 Silver Box,G.I. JOE COBRA STRIKE,9.4,,SEALED,False
2021-07-20,552.0,9.4 A+ SEALED PS1 ACCLAIM 1998 USA,312129,68080,Sony Security Label,BATMAN & ROBIN,9.4,A+,SEALED,False
2021-05-25,552.0,9.6 A+ SEALED SNES NINTENDO 1994 USA,312121,69055,Made in Japan,TETRIS 2,9.6,A+,SEALED,False
2021-03-09,240.0,9.6 A+ SEALED PS2 CAPCOM 2006 USA,312110,67092,3-Game Anniversary Set,DEVIL MAY CRY 3: DANTE'S AWAKENING SPECIAL EDITION,9.6,A+,SEALED,False
2020-09-21,216.0,9.8 A++ SEALED 2600 ATARI 1990 USA,122038,15744,,BMX AIR MASTER,9.8,A++,SEALED,False
2020-10-12,372.0,9.4 A SEALED PS2 RED OCTANE 2005 USA,122041,13821,,GUITAR HERO,9.4,,SEALED,False
2021-07-11,4560.0,9.4 A+ SEALED PS1 BANDAI 2000 USA,7261,29239,"Sony Security Label, with Game Card",DIGIMON WORLD,9.4,A+,SEALED,False
2021-03-30,420.0,9.6 A++ SEALED GEN ACCLAIM 1995 USA,312113,70074,,JUDGE DREDD,9.6,A++,SEALED,False
2021-07-11,3840.0,9.6 A++ SEALED GB NINTENDO 1996 USA,7261,28121,Player's Choice,SUPER MARIO LAND,9.6,A++,SEALED,False
2020-09-28,1920.0,9.6 A++ SEALED SEGACD SONY IMAGESOFT 1992 USA,122039,17914,,HOOK,9.6,A++,SEALED,False
2020-05-03,360.0,8.5 A+ SEALED ATARI 2600 STARPATH 1982 USA,7229,97007,,COMMUNIST MUTANTS FROM SPACE,8.5,A+,SEALED,False
2020-12-28,408.0,8.5 CIB NES NINTENDO 1988 USA,122052,17598,"Rev-A, Round SOQ",SUPER MARIO BROS. 2,8.5,CIB,,False
2019-11-24,1200.0,9.4 B SEALED NES TENGEN 1990 USA,7212,97161,Tengen Gold SOQ,MS. PAC-MAN  - CAROLINA COLLECTION,9.4,,SEALED,False
2020-02-03,372.0,8.5 B SEALED NES LJN 1992 USA,122005,11890,,SPIDER-MAN AND THE SINISTER SIX,8.5,,SEALED,False
2020-11-09,240.0,9.4 A SEALED 2600 ATARI 1978 USA,122045,13769,1988 Red box,SPACE INVADERS,9.4,,SEALED,False
2021-08-17,2160.0,8.0 A SEALED NES ARCADIA 1990 USA,312133,68044,Oval SOQ R,SILVER SURFER,8.0,,SEALED,False
2019-05-19,1140.0,SONIC 2,121920,15224,"GEN, Sega, 1992, Seal Rating",SONIC 2,9.2,A++,,False
2021-05-25,432.0,9.2 A SEALED GEN ACCLAIM 1994 USA,312121,69066,,NBA JAM: TOURNAMENT EDITION,9.2,,SEALED,False
2021-07-11,810.0,9.4 B+ SEALED WII NINTENDO 2007 USA,7261,29203,,SUPER MARIO GALAXY,9.4,B+,SEALED,False
2021-06-29,99.0,9.4 NS NO SEAL 2600 ACTIVISION 1980 USA,312126,70013,1981 Blue box,SKIING,9.4,,NO SEAL,False
2019-06-02,79.0,R.B.IBASEBALL '94,121922,11204,"Genesis, Tengen, 1994, Seal Rating",R.B.I. BASEBALL '94,8.5,B+,,False
2020-08-17,4800.0,9.6 A+ SEALED NES KONAMI 1987 USA,122033,15756,"Rev-A, Round SOQ",DOUBLE DRIBBLE,9.6,A+,SEALED,False
2020-11-23,109.0,9.2 B+ SEALED PS1 TIME WARNER 1995 USA,122047,17837,,ZERO DIVIDE,9.2,B+,SEALED,False
2020-09-07,180.0,6.0 A SEALED NES BANDAI 1990 USA,122036,11840,Oval SOQ R,DICK TRACY  - CAROLINA COLLECTION,6.0,,SEALED,False
2020-07-12,264.0,7.5 CIB NES DATA EAST 1987 USA,7231,97097,"No Rev-A, Early Production",RING KING,7.5,CIB,,False
2021-07-11,1080.0,9.2 A SEALED XBOX MICROSOFT 2006 USA,7261,29308,"Microsoft Security Label, ""Do not sell before"" first print variant",HALO 2,9.2,,SEALED,False
2020-12-14,336.0,9.6 C+ SEALED GEN EA SPORTS 1993 USA,122050,13910,,FIFA INTERNATIONAL SOCCER,9.6,C+,SEALED,False
2019-08-11,384.0,DONKEY KONG COUNTRY VARIANT: MADE IN MEXICO,121932,13265,"SNES, Nintendo, 1994, USA, Seal Rating",DONKEY KONG COUNTRY,7.0,,,True
2021-04-02,9600.0,9.6 A+ SEALED SNES CAPCOM 1996 USA,7242,93043,Made in Japan,STREET FIGHTER II TURBO,9.6,A+,SEALED,False
2019-06-16,150.0,DUCK HUNT BOX 6.5 CARTRIDGE 8.5 MANUAL 8.0,121924,15235,"NES, Nintendo, 1985, Complete in Box",DUCK HUNT,7.5,CIB,,False
2020-04-20,114.0,6.5 CIB NES NINTENDO 1985 USA,122016,15636,"Hangtab, 2 Code, Mid-Production",10-YARD FIGHT,6.5,CIB,,False
2019-11-10,204.0,9.4 A+ SEALED GEN SEGA 1995 USA,121945,13248,"Cardboard Slide, Made in USA",COMIX ZONE,9.4,A+,SEALED,False
2021-03-23,192.0,6.5 CIB NES CAPCOM 1993 USA,312112,69036,Oval SOQ R,DARKWING DUCK,6.5,CIB,,False
2021-04-02,17400.0,9.8 A+ SEALED PS1 SONY 1998 USA,7242,93089,"No Sweepstakes, Sony Security Label, Mid-Production",SPYRO THE DRAGON,9.8,A+,SEALED,False
2020-05-25,162.0,8.0 NS INTV COLECO 1982 USA,122021,17781,1982,DONKEY KONG,8.0,,,False
